n_neighbors,min_dist,n_components,metric,optimal_k,optimal_silhouette
2,0.25,10,manhattan,10,0.21930762
2,0.25,10,minkowski,10,0.21883868
2,0.0,20,manhattan,10,0.21319906
2,0.0,20,chebyshev,10,0.21235076
2,0.1,100,manhattan,2,0.21139334
2,0.0,100,euclidean,2,0.20741208
2,0.25,20,chebyshev,10,0.20688452
2,0.25,100,manhattan,2,0.20486167
2,0.25,20,euclidean,2,0.1976274
2,0.1,20,chebyshev,10,0.1954307
2,0.25,100,minkowski,2,0.18842234
2,0.25,100,euclidean,2,0.18075614
2,0.1,20,manhattan,10,0.18013446
2,0.1,50,chebyshev,10,0.17487688
2,0.25,50,chebyshev,10,0.16700985
2,0.1,50,manhattan,10,0.1633581
2,0.25,50,manhattan,10,0.16209015
2,0.25,20,manhattan,9,0.16088547
2,0.0,50,manhattan,10,0.15546249
2,0.0,50,euclidean,10,0.14556912
2,0.1,50,euclidean,10,0.14359091
2,0.0,100,chebyshev,2,0.14028616
2,0.25,50,minkowski,10,0.13740438
2,0.25,100,chebyshev,8,0.136083
2,0.0,50,chebyshev,10,0.13377714
2,0.25,50,euclidean,10,0.12982646
2,0.1,100,euclidean,10,0.124245696
2,0.1,100,minkowski,2,0.12056031
2,0.0,50,minkowski,10,0.10854087
2,0.1,50,minkowski,7,0.10339488
2,0.0,100,minkowski,8,0.09899998
